topology,method,threshold,missing_signature,witness_reference_id,witness_event_specification
A,MI-MD,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MD,severe,Concentrated dependency; Hidden convergent dependency,REF-A-P-1153,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MD,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-MD,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MD,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,MI-MD,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MDA,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MDA,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MDA,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MDA,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,MI-MDA,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-MDA,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,MI-MDA,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2216,"[{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MDA,severe,Concentrated dependency; Hidden convergent dependency,REF-A-P-1153,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,MI-MDA,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1155,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,MI-MDA,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1811,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,MI-MDA,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0203,"[{""target"":""T2P"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":3,""recovery_weeks"":3}]"
A,MI-MDA,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1059,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,FST-original,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,FST-original,moderate,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0156,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,FST-original,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,FST-original,moderate,Concentrated dependency; Propagation-amplified cascade,REF-B-P-0361,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0362,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1285,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0130,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
B,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,FST-original,severe,Compounding moderate disturbance,REF-B-P-2554,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,FST-original,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,FST-original,severe,Concentrated dependency; Hidden convergent dependency,REF-B-P-1486,"[{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
B,FST-original,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,FST-original,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,FST-original,severe,Concentrated dependency; Propagation-amplified cascade,REF-B-P-1090,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,severe,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1091,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0187,"[{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,FST-original,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-FST,moderate,Compounding moderate disturbance,REF-B-P-2551,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
B,MI-FST,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-FST,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-FST,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-FST,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-FST,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1285,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0130,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-FST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-FST,severe,Compounding moderate disturbance,REF-B-P-2554,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-FST,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-FST,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-FST,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-FST,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-FST,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-FST,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-FST,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,RST,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,RST,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,RST,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,RST,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,RST,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,RST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,RST,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,RST,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,RST,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,RST,severe,Concentrated dependency; Hidden convergent dependency,REF-B-P-1486,"[{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
B,RST,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,RST,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,RST,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,RST,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1339,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,RST,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,RST,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-C,moderate,Compounding moderate disturbance,REF-B-P-2551,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
B,MI-C,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-C,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-C,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-C,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-C,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1285,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0130,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
